#Frame        phi:121      psi:121
     872     -91.1112     -25.3431
     873    -107.2320      -6.2085
     874    -112.4114      -2.9461
     875    -111.7462      -2.9592
     876    -114.5337      -8.6481
     877    -106.9696     -14.4709
     878    -118.0057      -4.2770
     879    -109.8348       2.4588
     880     -94.1440      -5.0506
     881     -86.2139     -11.6399
     882    -123.7665     -18.0814
     883    -102.2079      -6.4472
     884     -93.4602      -9.2825
     885    -106.5926      -8.9288
     886    -108.9257     -12.9194
     887    -114.6011     -18.1764
     888     -93.0220     -15.8050
     889    -119.9995       3.7302
     890    -113.7023       5.7142
     891    -111.3335     -11.5246
     892     -77.2253      -3.2908
     893     -98.6909       6.8937
     894    -112.7800     -10.0775
     895     -95.8170      -3.6220
     896    -116.3996     -15.7779
     897    -108.8278       1.5979
     898    -101.6538      -2.2388
     899    -107.7758       8.1726
     900    -106.6353       1.4584
     901    -102.3488     -10.3404
     902     -99.6833     -16.6282
     903    -117.5934      -9.7396
     904    -105.2033     -25.3851
     905     -98.2857       2.2342
     906     -92.7418       2.6810
     907     -96.7971      -0.4830
     908    -109.9862     -10.0282
     909    -117.7965      -6.5701
     910     -95.0348      -8.2528
     911    -117.4177      -5.4561
     912     -90.3950     -15.2557
     913    -127.7669     -17.2896
     914     -90.2484     -19.4357
     915    -112.1190      -6.4378
     916    -106.9324     -13.1587
     917     -98.5936     -31.9723
     918     -94.3709     -14.3033
     919    -107.3067      17.2087
     920    -102.4497      -0.3903
     921    -113.7433      -6.6947
     922    -101.2902     -16.6235
     923    -125.7696     -16.5438
     924    -111.1251     -15.4101
     925    -117.5248      -3.7728
     926    -126.5242       0.4233
     927    -130.8620     -11.5092
     928    -118.9361      -6.0520
     929    -112.7769      -2.6378
     930    -127.1419     -12.8735
     931    -107.2311      -3.1315
     932     -98.4277      -5.7234
     933    -102.3066       1.2266
     934    -110.2934       7.3063
     935    -118.9278      -2.6454
     936    -102.3926      -4.2549
     937     -91.8109      -2.1325
     938    -103.3358      -4.9738
     939    -120.2703       0.2794
     940     -92.4936     -10.9581
     941    -104.2893     -14.4933
